Configuration_ID,Dataset,Hidden_Layers,Learning_Rate,Activation,Optimizer,Epochs,Split_Type,Train_Accuracy,Train_Precision,Train_Recall,Train_F1_Score,Train_Specificity,Train_Sensitivity,Train_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_Specificity,Test_Sensitivity,Test_AUC
1,1_og_b,"(15, 15)",0.1,relu,adam,10,80-20,0.9722222222222222,0.9951456310679612,0.9490740740740741,0.971563981042654,0.9953703703703703,0.9490740740740741,0.9882758916323732,0.9629629629629629,1.0,0.9259259259259259,0.9615384615384615,1.0,0.9259259259259259,0.9794238683127573
1,1_og_b,"(15, 15)",0.1,relu,adam,10,70-30,0.9656084656084656,1.0,0.9312169312169312,0.9643835616438355,1.0,0.9312169312169312,0.9803476946334089,0.9444444444444444,0.9864864864864865,0.9012345679012346,0.9419354838709678,0.9876543209876543,0.9012345679012346,0.973632068282274
1,1_og_b,"(15, 15)",0.1,relu,adam,10,60-40,0.9629629629629629,0.9746835443037974,0.9506172839506173,0.9625,0.9753086419753086,0.9506172839506173,0.9900929736320683,0.9444444444444444,0.9528301886792453,0.9351851851851852,0.9439252336448598,0.9537037037037037,0.9351851851851852,0.9713648834019204
1,1_og_b,"(15, 15)",0.1,relu,adam,10,50-50,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333,0.9907270233196159,0.9666666666666667,0.9921875,0.9407407407407408,0.9657794676806085,0.9925925925925926,0.9407407407407408,0.9819204389574759
2,1_og_b,"(15, 15)",0.1,relu,adam,25,80-20,0.9791666666666666,1.0,0.9583333333333334,0.9787234042553191,1.0,0.9583333333333334,0.997170781893004,0.9537037037037037,1.0,0.9074074074074074,0.9514563106796117,1.0,0.9074074074074074,0.9859396433470508
2,1_og_b,"(15, 15)",0.1,relu,adam,25,70-30,0.9735449735449735,1.0,0.9470899470899471,0.9728260869565218,1.0,0.9470899470899471,0.984238963074942,0.9567901234567902,0.9868421052631579,0.9259259259259259,0.9554140127388535,0.9876543209876543,0.9259259259259259,0.963953665599756
2,1_og_b,"(15, 15)",0.1,relu,adam,25,60-40,0.9876543209876543,1.0,0.9753086419753086,0.9875,1.0,0.9753086419753086,0.9973327236701721,0.9444444444444444,0.9897959183673469,0.8981481481481481,0.941747572815534,0.9907407407407407,0.8981481481481481,0.9580332647462277
2,1_og_b,"(15, 15)",0.1,relu,adam,25,50-50,0.9703703703703703,1.0,0.9407407407407408,0.9694656488549619,1.0,0.9407407407407408,0.993360768175583,0.9629629629629629,0.9921259842519685,0.9333333333333333,0.9618320610687023,0.9925925925925926,0.9333333333333333,0.9781069958847738
3,1_nrml_b,"(15, 15)",0.1,relu,adam,50,80-20,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577464,1.0,0.9722222222222222,0.999571330589849,0.9537037037037037,1.0,0.9074074074074074,0.9514563106796117,1.0,0.9074074074074074,0.9890260631001371
3,1_nrml_b,"(15, 15)",0.1,relu,adam,50,70-30,0.9788359788359788,1.0,0.9576719576719577,0.9783783783783784,1.0,0.9576719576719577,0.9879062736205594,0.9567901234567902,0.9868421052631579,0.9259259259259259,0.9554140127388535,0.9876543209876543,0.9259259259259259,0.9685261393080323
3,1_nrml_b,"(15, 15)",0.1,relu,adam,50,60-40,0.9876543209876543,1.0,0.9753086419753086,0.9875,1.0,0.9753086419753086,0.9995046486816034,0.9583333333333334,0.9900990099009901,0.9259259259259259,0.9569377990430621,0.9907407407407407,0.9259259259259259,0.9653206447187929
3,1_nrml_b,"(15, 15)",0.1,relu,adam,50,50-50,0.9777777777777777,1.0,0.9555555555555556,0.9772727272727273,1.0,0.9555555555555556,0.9964883401920439,0.9629629629629629,0.9921259842519685,0.9333333333333333,0.9618320610687023,0.9925925925925926,0.9333333333333333,0.9746776406035665
4,1_nrml_b,"(15, 15)",0.1,relu,adam,10,80-20,0.9560185185185185,1.0,0.9120370370370371,0.9539951573849879,1.0,0.9120370370370371,0.9815672153635117,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,0.97599451303155
4,1_nrml_b,"(15, 15)",0.1,relu,adam,10,70-30,0.9735449735449735,1.0,0.9470899470899471,0.9728260869565218,1.0,0.9470899470899471,0.9859746367682876,0.9567901234567902,0.9868421052631579,0.9259259259259259,0.9554140127388535,0.9876543209876543,0.9259259259259259,0.9746989788142052
4,1_nrml_b,"(15, 15)",0.1,relu,adam,10,60-40,0.9598765432098766,1.0,0.9197530864197531,0.9581993569131833,1.0,0.9197530864197531,0.9852156683432404,0.9537037037037037,0.99,0.9166666666666666,0.9519230769230769,0.9907407407407407,0.9166666666666666,0.9799382716049383
4,1_nrml_b,"(15, 15)",0.1,relu,adam,10,50-50,0.9592592592592593,1.0,0.9185185185185185,0.9575289575289575,1.0,0.9185185185185185,0.9768998628257888,0.9481481481481482,0.991869918699187,0.9037037037037037,0.945736434108527,0.9925925925925926,0.9037037037037037,0.9694101508916323
5,1_nrml_b,"(15, 15)",0.01,relu,rmsprop,50,80-20,0.9814814814814815,0.9952380952380953,0.9675925925925926,0.9812206572769953,0.9953703703703703,0.9675925925925926,0.997320816186557,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,0.9828532235939643
5,1_nrml_b,"(15, 15)",0.01,relu,rmsprop,50,70-30,0.9735449735449735,1.0,0.9470899470899471,0.9728260869565218,1.0,0.9470899470899471,0.9893619999440105,0.9444444444444444,0.9864864864864865,0.9012345679012346,0.9419354838709678,0.9876543209876543,0.9012345679012346,0.9748513946044809
5,1_nrml_b,"(15, 15)",0.01,relu,rmsprop,50,60-40,0.9845679012345679,1.0,0.9691358024691358,0.9843260188087775,1.0,0.9691358024691358,0.993979576284103,0.9444444444444444,0.9897959183673469,0.8981481481481481,0.941747572815534,0.9907407407407407,0.8981481481481481,0.97119341563786
5,1_nrml_b,"(15, 15)",0.01,relu,rmsprop,50,50-50,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333,0.9914951989026063,0.9555555555555556,0.992,0.9185185185185185,0.9538461538461539,0.9925925925925926,0.9185185185185185,0.983923182441701
6,1_nrml_b,"(15, 15)",0.1,relu,adam,25,80-20,0.9791666666666666,1.0,0.9583333333333334,0.9787234042553191,1.0,0.9583333333333334,0.9953918038408779,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9444444444444444,0.9735939643347049
6,1_nrml_b,"(15, 15)",0.1,relu,adam,25,70-30,0.9497354497354498,0.9521276595744681,0.9470899470899471,0.9496021220159151,0.9523809523809523,0.9470899470899471,0.9875143473027072,0.9629629629629629,0.987012987012987,0.9382716049382716,0.9620253164556961,0.9876543209876543,0.9382716049382716,0.958009449778997
6,1_nrml_b,"(15, 15)",0.1,relu,adam,25,60-40,0.9691358024691358,0.9810126582278481,0.9567901234567902,0.96875,0.9814814814814815,0.9567901234567902,0.9886069196768784,0.9537037037037037,0.99,0.9166666666666666,0.9519230769230769,0.9907407407407407,0.9166666666666666,0.947145061728395
6,1_nrml_b,"(15, 15)",0.1,relu,adam,25,50-50,0.9444444444444444,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9629629629629629,0.9259259259259259,0.9901783264746228,0.9333333333333333,0.9465648854961832,0.9185185185185185,0.9323308270676691,0.9481481481481482,0.9185185185185185,0.9679835390946503
7,1_og_b,"(15, 15)",0.01,relu,rmsprop,10,80-20,0.9537037037037037,0.9949494949494949,0.9120370370370371,0.9516908212560387,0.9953703703703703,0.9120370370370371,0.9827674897119342,0.9629629629629629,1.0,0.9259259259259259,0.9615384615384615,1.0,0.9259259259259259,0.9801097393689987
7,1_og_b,"(15, 15)",0.01,relu,rmsprop,10,70-30,0.9656084656084656,1.0,0.9312169312169312,0.9643835616438355,1.0,0.9312169312169312,0.9826992525405224,0.9444444444444444,0.9864864864864865,0.9012345679012346,0.9419354838709678,0.9876543209876543,0.9012345679012346,0.9719554945892394
7,1_og_b,"(15, 15)",0.01,relu,rmsprop,10,60-40,0.9506172839506173,1.0,0.9012345679012346,0.948051948051948,1.0,0.9012345679012346,0.986816034141137,0.9398148148148148,0.9896907216494846,0.8888888888888888,0.9365853658536585,0.9907407407407407,0.8888888888888888,0.9814814814814814
7,1_og_b,"(15, 15)",0.01,relu,rmsprop,10,50-50,0.9407407407407408,0.9541984732824428,0.9259259259259259,0.9398496240601504,0.9555555555555556,0.9259259259259259,0.9789300411522633,0.9518518518518518,0.9692307692307692,0.9333333333333333,0.9509433962264151,0.9703703703703703,0.9333333333333333,0.9806858710562414
8,1_og_b,"(15,)",0.1,tanh,rmsprop,50,80-20,0.9745370370370371,1.0,0.9490740740740741,0.9738717339667459,1.0,0.9490740740740741,0.9858324759945131,0.9629629629629629,1.0,0.9259259259259259,0.9615384615384615,1.0,0.9259259259259259,0.9917695473251029
8,1_og_b,"(15,)",0.1,tanh,rmsprop,50,70-30,0.9814814814814815,1.0,0.9629629629629629,0.9811320754716981,1.0,0.9629629629629629,0.9889700736261583,0.9567901234567902,0.9868421052631579,0.9259259259259259,0.9554140127388535,0.9876543209876543,0.9259259259259259,0.9750038103947569
8,1_og_b,"(15,)",0.1,tanh,rmsprop,50,60-40,0.9783950617283951,1.0,0.9567901234567902,0.9779179810725552,1.0,0.9567901234567902,0.9889498552049992,0.9583333333333334,0.9900990099009901,0.9259259259259259,0.9569377990430621,0.9907407407407407,0.9259259259259259,0.9810528120713305
8,1_og_b,"(15,)",0.1,tanh,rmsprop,50,50-50,0.9740740740740741,1.0,0.9481481481481482,0.973384030418251,1.0,0.9481481481481482,0.995116598079561,0.9629629629629629,0.9921259842519685,0.9333333333333333,0.9618320610687023,0.9925925925925926,0.9333333333333333,0.9862277091906723
9,1_og_b,"(15, 15, 15)",0.01,relu,rmsprop,25,80-20,0.9675925925925926,0.9950980392156863,0.9398148148148148,0.9666666666666666,0.9953703703703703,0.9398148148148148,0.9931627229080933,0.9537037037037037,1.0,0.9074074074074074,0.9514563106796117,1.0,0.9074074074074074,0.9756515775034292
9,1_og_b,"(15, 15, 15)",0.01,relu,rmsprop,25,70-30,0.9735449735449735,1.0,0.9470899470899471,0.9728260869565218,1.0,0.9470899470899471,0.9921054841689761,0.9506172839506173,0.9866666666666667,0.9135802469135802,0.9487179487179487,0.9876543209876543,0.9135802469135802,0.9740893156531016
9,1_og_b,"(15, 15, 15)",0.01,relu,rmsprop,25,60-40,0.9753086419753086,1.0,0.9506172839506173,0.9746835443037974,1.0,0.9506172839506173,0.992760249961896,0.9444444444444444,0.9897959183673469,0.8981481481481481,0.941747572815534,0.9907407407407407,0.8981481481481481,0.976508916323731
9,1_og_b,"(15, 15, 15)",0.01,relu,rmsprop,25,50-50,0.9777777777777777,1.0,0.9555555555555556,0.9772727272727273,1.0,0.9555555555555556,0.9959945130315501,0.9592592592592593,0.9920634920634921,0.9259259259259259,0.9578544061302682,0.9925925925925926,0.9259259259259259,0.9651577503429355
10,1_og_b,"(15,)",0.1,tanh,rmsprop,25,80-20,0.9745370370370371,1.0,0.9490740740740741,0.9738717339667459,1.0,0.9490740740740741,0.9879115226337448,0.9629629629629629,1.0,0.9259259259259259,0.9615384615384615,1.0,0.9259259259259259,0.9842249657064471
10,1_og_b,"(15,)",0.1,tanh,rmsprop,25,70-30,0.9682539682539683,1.0,0.9365079365079365,0.9672131147540983,1.0,0.9365079365079365,0.9890820525741161,0.9506172839506173,0.9866666666666667,0.9135802469135802,0.9487179487179487,0.9876543209876543,0.9135802469135802,0.9786617893613779
10,1_og_b,"(15,)",0.1,tanh,rmsprop,25,60-40,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9444444444444444,0.9852156683432404,0.9583333333333334,0.9900990099009901,0.9259259259259259,0.9569377990430621,0.9907407407407407,0.9259259259259259,0.9786522633744856
10,1_og_b,"(15,)",0.1,tanh,rmsprop,25,50-50,0.9740740740740741,1.0,0.9481481481481482,0.973384030418251,1.0,0.9481481481481482,0.9950068587105624,0.9592592592592593,0.9920634920634921,0.9259259259259259,0.9578544061302682,0.9925925925925926,0.9259259259259259,0.9662551440329217
