Configuration_ID,Dataset,Hidden_Layers,Learning_Rate,Activation,Optimizer,Epochs,Split_Type,Train_Accuracy,Train_Precision,Train_Recall,Train_F1_Score,Train_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_AUC,y_test,y_pred
1,2_nrml,"[23, 23, 23]",0.01,relu,adam,50,80-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1, 1, 0, 1, 1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 2, 1, 0, 0, 2, 2, 1, 0, 1, 1, 1, 2, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 0, 2, 2, 1, 0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 2, 2, 1, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 1, 2, 1, 2, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 2, 1, 1, 1, 1, 2, 2, 2, 0, 2, 0, 1, 1, 0, 0, 2, 0, 2, 1, 0, 1, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 2, 1, 0, 0, 2, 2, 1, 0, 1, 1, 1, 2, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 0, 2, 2, 1, 0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 2, 2, 1, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 1, 2, 1, 2, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 2, 1, 1, 1, 1, 2, 2, 2, 0, 2, 0, 1, 1, 0, 0, 2, 0, 2, 1, 0, 1, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 0, 1]"
1,2_nrml,"[23, 23, 23]",0.01,relu,adam,50,70-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 2, 1, 2, 1, 0, 1, 1, 2, 2, 0, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 2, 0, 0, 1, 2, 2, 1, 2, 0, 2, 0, 0, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 2, 0, 1, 1, 0, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 2, 2, 0, 2, 1, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 2, 0, 2, 0, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 2, 2, 1, 0, 0, 2, 1, 2, 0, 2, 0, 2, 1, 2, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 2, 2, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 2, 1, 0, 2, 1, 1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 2, 1, 2, 2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 2, 0, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 0, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 0, 2, 1, 2, 2, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 0, 0]","[2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 2, 1, 2, 1, 0, 1, 1, 2, 2, 0, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 2, 0, 0, 1, 2, 2, 1, 2, 0, 2, 0, 0, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 2, 0, 1, 1, 0, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 2, 2, 0, 2, 1, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 2, 0, 2, 0, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 2, 2, 1, 0, 0, 2, 1, 2, 0, 2, 0, 2, 1, 2, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 2, 2, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 2, 1, 0, 2, 1, 1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 2, 1, 2, 2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 2, 0, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 0, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 0, 2, 1, 2, 2, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 0, 0]"
1,2_nrml,"[23, 23, 23]",0.01,relu,adam,50,60-40,1.0,1.0,1.0,1.0,1.0,0.9975,0.9977324263038548,0.9974937343358397,0.997604481937021,1.0,"[1, 2, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 2, 1, 2, 1, 0, 2, 1, 2, 0, 0, 2, 2, 1, 0, 1, 0, 1, 1, 1, 0, 2, 1, 2, 2, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 0, 0, 1, 2, 2, 1, 0, 2, 1, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 0, 2, 1, 0, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 0, 1, 2, 0, 0, 2, 0, 2, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 2, 0, 2, 0, 1, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 0, 1, 0, 2, 1, 2, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 1, 2, 0, 2, 2, 2, 0, 2, 1, 1, 2, 0, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 0, 2, 2, 0, 2, 1, 2, 2, 2, 0, 2, 2, 1, 2, 0, 0, 2, 2, 1, 0, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 0, 1, 0, 0, 2, 0, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 1, 2, 2, 0, 2, 0, 1, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 2, 2, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 2, 1, 2, 0, 1, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 1, 0, 2]","[1, 2, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 2, 1, 2, 1, 0, 2, 1, 2, 0, 0, 2, 2, 1, 0, 1, 0, 1, 1, 1, 0, 2, 1, 2, 2, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 0, 0, 1, 2, 2, 1, 0, 2, 1, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 0, 2, 1, 0, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 0, 1, 2, 0, 0, 2, 0, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 2, 0, 2, 0, 1, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 0, 1, 0, 2, 1, 2, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 1, 2, 0, 2, 2, 2, 0, 2, 1, 1, 2, 0, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 0, 2, 2, 0, 2, 1, 2, 2, 2, 0, 2, 2, 1, 2, 0, 0, 2, 2, 1, 0, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 0, 1, 0, 0, 2, 0, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 1, 2, 2, 0, 2, 0, 1, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 2, 2, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 2, 1, 2, 0, 1, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 1, 0, 2]"
