dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
2_nrml.csv,"[23, 23]",0.01,relu,sgd,50,0.505648105502533
2_nrml.csv,"[23, 23]",0.01,relu,rmsprop,10,0.9848679753292566
2_nrml.csv,"[23, 23]",0.01,relu,rmsprop,25,0.9989560394747574
2_nrml.csv,"[23, 23]",0.01,relu,rmsprop,50,1.0
2_nrml.csv,"[23, 23]",0.01,tanh,adam,10,0.8773639203405177
2_nrml.csv,"[23, 23]",0.01,tanh,adam,25,0.9774236706461655
2_nrml.csv,"[23, 23]",0.01,tanh,adam,50,0.997994671503883
2_nrml.csv,"[23, 23]",0.01,tanh,sgd,10,0.35312226077210945
2_nrml.csv,"[23, 23]",0.01,tanh,sgd,25,0.5577224810155331
2_nrml.csv,"[23, 23]",0.01,tanh,sgd,50,0.6245169143946058
2_nrml.csv,"[23, 23]",0.01,tanh,rmsprop,10,0.9754324328302
2_nrml.csv,"[23, 23]",0.01,tanh,rmsprop,25,0.999042735042735
2_nrml.csv,"[23, 23]",0.01,tanh,rmsprop,50,1.0
2_nrml.csv,"[23, 23]",0.1,relu,adam,10,0.9859868892243402
2_nrml.csv,"[23, 23]",0.1,relu,adam,25,1.0
2_nrml.csv,"[23, 23]",0.1,relu,adam,50,1.0
2_nrml.csv,"[23, 23]",0.1,relu,sgd,10,0.5241106529071343
2_nrml.csv,"[23, 23]",0.1,relu,sgd,25,0.7593322150876013
2_nrml.csv,"[23, 23]",0.1,relu,sgd,50,0.9337635105800611
2_nrml.csv,"[23, 23]",0.1,relu,rmsprop,10,0.8768401632642261
2_nrml.csv,"[23, 23]",0.1,relu,rmsprop,25,0.9825924804769581
2_nrml.csv,"[23, 23]",0.1,relu,rmsprop,50,0.9908242334802587
2_nrml.csv,"[23, 23]",0.1,tanh,adam,10,0.9689284402510617
2_nrml.csv,"[23, 23]",0.1,tanh,adam,25,0.9951142171629025
2_nrml.csv,"[23, 23]",0.1,tanh,adam,50,1.0
2_nrml.csv,"[23, 23]",0.1,tanh,sgd,10,0.7100499845493478
2_nrml.csv,"[23, 23]",0.1,tanh,sgd,25,0.8373193072807196
2_nrml.csv,"[23, 23]",0.1,tanh,sgd,50,0.9453448517133018
2_nrml.csv,"[23, 23]",0.1,tanh,rmsprop,10,0.8963720662452495
2_nrml.csv,"[23, 23]",0.1,tanh,rmsprop,25,0.9594061798389205
2_nrml.csv,"[23, 23]",0.1,tanh,rmsprop,50,0.9417323596546255
2_nrml.csv,"[23, 23, 23]",0.001,relu,adam,10,0.348871510460042
2_nrml.csv,"[23, 23, 23]",0.001,relu,adam,25,0.5982453289054076
