dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15]",0.01,relu,adam,50,0.8472312368536625
1_ef_b.csv,"[15, 15]",0.01,relu,sgd,10,0.3823878360246328
1_ef_b.csv,"[15, 15]",0.01,relu,sgd,25,0.46533762536121026
1_ef_b.csv,"[15, 15]",0.01,relu,sgd,50,0.3820408163265306
1_ef_b.csv,"[15, 15]",0.01,relu,rmsprop,10,0.8563071242465634
1_ef_b.csv,"[15, 15]",0.01,relu,rmsprop,25,0.8511097683506375
1_ef_b.csv,"[15, 15]",0.01,relu,rmsprop,50,0.8579203814547279
1_ef_b.csv,"[15, 15]",0.01,tanh,adam,10,0.8556544435938827
1_ef_b.csv,"[15, 15]",0.01,tanh,adam,25,0.8508201333372958
1_ef_b.csv,"[15, 15]",0.01,tanh,adam,50,0.8524583197123243
1_ef_b.csv,"[15, 15]",0.01,tanh,sgd,10,0.581484695859696
1_ef_b.csv,"[15, 15]",0.01,tanh,sgd,25,0.6552218759519827
1_ef_b.csv,"[15, 15]",0.01,tanh,sgd,50,0.7380774764533762
1_ef_b.csv,"[15, 15]",0.01,tanh,rmsprop,10,0.8593629573023964
1_ef_b.csv,"[15, 15]",0.01,tanh,rmsprop,25,0.854787526481597
1_ef_b.csv,"[15, 15]",0.01,tanh,rmsprop,50,0.8573012479450306
1_ef_b.csv,"[15, 15]",0.1,relu,adam,10,0.8272471473275049
1_ef_b.csv,"[15, 15]",0.1,relu,adam,25,0.8511937217454844
1_ef_b.csv,"[15, 15]",0.1,relu,adam,50,0.856140594575075
1_ef_b.csv,"[15, 15]",0.1,relu,sgd,10,0.6756303612369361
1_ef_b.csv,"[15, 15]",0.1,relu,sgd,25,0.8250991247112337
1_ef_b.csv,"[15, 15]",0.1,relu,sgd,50,0.8514725693472537
1_ef_b.csv,"[15, 15]",0.1,relu,rmsprop,10,0.5725118083670715
1_ef_b.csv,"[15, 15]",0.1,relu,rmsprop,25,0.6839102564102564
1_ef_b.csv,"[15, 15]",0.1,relu,rmsprop,50,0.6172674316424317
1_ef_b.csv,"[15, 15]",0.1,tanh,adam,10,0.8546141712776751
1_ef_b.csv,"[15, 15]",0.1,tanh,adam,25,0.8493955443710192
1_ef_b.csv,"[15, 15]",0.1,tanh,adam,50,0.8556451270454731
1_ef_b.csv,"[15, 15]",0.1,tanh,sgd,10,0.8035951361122986
1_ef_b.csv,"[15, 15]",0.1,tanh,sgd,25,0.8599132478334315
1_ef_b.csv,"[15, 15]",0.1,tanh,sgd,50,0.8591120022953438
1_ef_b.csv,"[15, 15]",0.1,tanh,rmsprop,10,0.8760225175341454
1_ef_b.csv,"[15, 15]",0.1,tanh,rmsprop,25,0.8479109101528957
1_ef_b.csv,"[15, 15]",0.1,tanh,rmsprop,50,0.8710242516680342
1_ef_b.csv,"[15, 15, 15]",0.001,relu,adam,10,0.44065109709131456
1_ef_b.csv,"[15, 15, 15]",0.001,relu,adam,25,0.6942623077405686
1_ef_b.csv,"[15, 15, 15]",0.001,relu,adam,50,0.7382920701524446
1_ef_b.csv,"[15, 15, 15]",0.001,relu,sgd,10,0.38337624457002273
